OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Xml_Serialize,18,1.119550,1183515,400
macOS,net8.0,arm64,Xml_Serialize,19,1.121095,1183515,400
macOS,net8.0,arm64,Xml_Serialize,20,1.121039,1183515,400
macOS,net8.0,arm64,Xml_Serialize,21,1.119524,1183515,400
macOS,net8.0,arm64,Xml_Serialize,22,1.122382,1183515,400
macOS,net8.0,arm64,Xml_Serialize,23,1.120899,1183515,400
macOS,net8.0,arm64,Xml_Serialize,24,1.119730,1183515,400
macOS,net8.0,arm64,Xml_Serialize,25,1.117343,1183515,400
macOS,net8.0,arm64,Xml_Serialize,26,1.122464,1183515,400
macOS,net8.0,arm64,Xml_Serialize,27,1.117986,1183515,400
macOS,net8.0,arm64,Xml_Serialize,28,1.124324,1183515,400
macOS,net8.0,arm64,Xml_Serialize,29,1.125022,1183515,400
macOS,net8.0,arm64,Xml_Serialize,30,1.119712,1183515,400
macOS,net8.0,arm64,Xml_Serialize,31,1.121866,1183515,400
macOS,net8.0,arm64,Xml_Serialize,32,1.119850,1183515,400
macOS,net8.0,arm64,Xml_Serialize,33,1.117892,1183515,400
macOS,net8.0,arm64,Xml_Serialize,34,1.115192,1183515,400
macOS,net8.0,arm64,Xml_Serialize,35,1.119373,1183515,400
macOS,net8.0,arm64,Xml_Serialize,36,1.115740,1183515,400
macOS,net8.0,arm64,Xml_Serialize,37,1.118607,1183515,400
macOS,net8.0,arm64,Xml_Serialize,38,1.115022,1183515,400
macOS,net8.0,arm64,Xml_Serialize,39,1.126084,1183515,400
macOS,net8.0,arm64,Xml_Serialize,40,1.117131,1183515,400
macOS,net8.0,arm64,Xml_Serialize,41,1.122527,1183515,400
macOS,net8.0,arm64,Xml_Serialize,42,1.125351,1183515,400
macOS,net8.0,arm64,Xml_Serialize,43,1.131392,1183515,400
macOS,net8.0,arm64,Xml_Serialize,44,1.126779,1183515,400
macOS,net8.0,arm64,Xml_Serialize,45,1.158737,1183515,400
macOS,net8.0,arm64,Xml_Serialize,46,1.256524,1183515,400
macOS,net8.0,arm64,Xml_Serialize,47,1.197758,1183515,400
macOS,net8.0,arm64,Xml_Serialize,48,1.136802,1183515,400
macOS,net8.0,arm64,Xml_Serialize,49,1.136789,1183515,400
macOS,net8.0,arm64,Xml_Serialize,50,1.120693,1183515,400
macOS,net8.0,arm64,Xml_Serialize,51,1.120536,1183515,400
macOS,net8.0,arm64,Xml_Serialize,52,1.119059,1183515,400
macOS,net8.0,arm64,Xml_Serialize,53,1.127988,1183515,400
macOS,net8.0,arm64,Xml_Serialize,54,1.121699,1183515,400
macOS,net8.0,arm64,Xml_Serialize,55,1.120466,1183515,400
macOS,net8.0,arm64,Xml_Serialize,56,1.116597,1183515,400
macOS,net8.0,arm64,Xml_Serialize,57,1.130038,1183515,400
macOS,net8.0,arm64,Xml_Serialize,58,1.131233,1183515,400
macOS,net8.0,arm64,Xml_Serialize,59,1.125428,1183515,400
macOS,net8.0,arm64,Xml_Serialize,60,1.120673,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,1,1.728783,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,2,1.715347,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,3,1.707183,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,4,1.715473,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,5,1.783418,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,6,1.719868,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,7,1.722513,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,8,1.719455,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,9,1.731845,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,10,1.720514,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,11,1.714888,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,12,1.711978,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,13,1.714014,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,14,1.722222,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,15,1.716090,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,16,1.709755,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,17,1.714399,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,18,1.712715,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,19,1.707679,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,20,1.713963,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,21,1.709948,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,22,1.700599,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,23,1.701929,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,24,1.712761,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,25,1.712267,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,26,1.729506,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,27,1.696039,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,28,1.709132,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,29,1.703853,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,30,1.711785,1183515,400
macOS,net8.0,arm64,Xml_Deserialize,31,1.805097,1183515,400
